risk_budget,method,groups,mean_mean_risk_score,ci95_mean_risk_score,mean_mean_coverage,ci95_mean_coverage,mean_mean_success,ci95_mean_success,mean_mean_utility,ci95_mean_utility
0.08,no_contact_behavior_clone,10,0.108588,7.8e-05,0.698367,0.000218,0.246144,0.007375,0.196346,0.006951
0.08,domain_randomization,10,0.093855,0.000146,0.739292,0.000404,0.320169,0.007091,0.287712,0.006938
0.08,diffusion_policy_surrogate,10,0.095788,0.000114,0.733922,0.000316,0.337211,0.007535,0.305957,0.007784
0.08,robotics_transformer_surrogate,10,0.090728,0.000107,0.747978,0.000297,0.355422,0.013127,0.330436,0.013134
0.08,ensemble_disagreement_planner,10,0.066751,0.000113,0.814581,0.000313,0.412856,0.010747,0.418893,0.010734
0.08,conformal_risk_filter,10,0.060851,0.000143,0.83097,0.000397,0.415663,0.011594,0.424001,0.011555
0.08,smooth_dynamics_world_model,10,0.094527,0.000174,0.737425,0.000484,0.333795,0.008602,0.302731,0.00829
0.08,contact_implicit_mpc,10,0.062607,9.6e-05,0.826091,0.000266,0.421701,0.013578,0.437216,0.013566
0.08,complementarity_residual_planner,10,0.059632,0.000156,0.834356,0.000433,0.434992,0.008299,0.457758,0.008139
0.08,robust_hybrid_mpc,10,0.051771,0.000123,0.856191,0.000341,0.459358,0.011454,0.491016,0.011472
0.08,learned_contact_classifier,10,0.066698,0.000166,0.814728,0.000461,0.427581,0.013503,0.443292,0.013488
0.08,energy_barrier_policy,10,0.054,0.000181,0.850001,0.000503,0.428809,0.0111,0.445465,0.011022
0.08,proposed_contact_mode_boundary_atlas_v4,10,0.043556,0.000116,0.879011,0.000322,0.520862,0.013206,0.574281,0.012794
0.08,contact_mode_boundary_audit_v5,10,0.024541,0.000134,0.93183,0.000371,0.642239,0.016368,0.741753,0.014902
0.08,oracle_contact_mode_supervisor,10,0.025252,0.000154,0.929856,0.000427,0.645964,0.019239,0.731108,0.018093
0.08,oracle_hybrid_contact_supervisor,10,0.018438,0.000114,0.948784,0.000317,0.663178,0.010992,0.760951,0.01068
0.12,no_contact_behavior_clone,10,0.108588,7.8e-05,0.72853,0.000196,0.256384,0.007693,0.204662,0.007236
0.12,domain_randomization,10,0.093855,0.000146,0.765363,0.000364,0.331236,0.00737,0.297626,0.007204
0.12,diffusion_policy_surrogate,10,0.095788,0.000114,0.76053,0.000284,0.349219,0.007794,0.316801,0.008051
0.12,robotics_transformer_surrogate,10,0.090728,0.000107,0.77318,0.000267,0.367151,0.013571,0.34124,0.013578
0.12,ensemble_disagreement_planner,10,0.066751,0.000113,0.833123,0.000282,0.422196,0.010984,0.428157,0.010971
0.12,conformal_risk_filter,10,0.060851,0.000143,0.847873,0.000357,0.424034,0.011814,0.432353,0.011775
0.12,smooth_dynamics_world_model,10,0.094527,0.000174,0.763682,0.000436,0.345394,0.008876,0.313205,0.008552
0.12,contact_implicit_mpc,10,0.062607,9.6e-05,0.843482,0.00024,0.43051,0.013849,0.446101,0.013836
0.12,complementarity_residual_planner,10,0.059632,0.000156,0.850921,0.000389,0.443535,0.008455,0.466483,0.008293
0.12,robust_hybrid_mpc,10,0.051771,0.000123,0.870572,0.000307,0.467047,0.011655,0.498981,0.011674
0.12,learned_contact_classifier,10,0.066698,0.000166,0.833255,0.000415,0.437239,0.013815,0.453034,0.0138
0.12,energy_barrier_policy,10,0.054,0.000181,0.865001,0.000453,0.436303,0.011311,0.453049,0.011231
0.12,proposed_contact_mode_boundary_atlas_v4,10,0.043556,0.000116,0.89111,0.00029,0.527984,0.013383,0.58186,0.012966
0.12,contact_mode_boundary_audit_v5,10,0.024541,0.000134,0.938647,0.000334,0.646952,0.016482,0.746998,0.015003
0.12,oracle_contact_mode_supervisor,10,0.025252,0.000154,0.93687,0.000384,0.650826,0.019388,0.736405,0.018232
0.12,oracle_hybrid_contact_supervisor,10,0.018438,0.000114,0.953905,0.000285,0.666756,0.011058,0.764885,0.010741
0.16,no_contact_behavior_clone,10,0.108588,7.8e-05,0.753209,0.000178,0.264762,0.007954,0.211466,0.007471
0.16,domain_randomization,10,0.093855,0.000146,0.786694,0.000331,0.34029,0.0076,0.305737,0.007425
0.16,diffusion_policy_surrogate,10,0.095788,0.000114,0.7823,0.000258,0.359044,0.008007,0.325673,0.00827
0.16,robotics_transformer_surrogate,10,0.090728,0.000107,0.7938,0.000243,0.376747,0.013934,0.35008,0.013942
0.16,ensemble_disagreement_planner,10,0.066751,0.000113,0.848294,0.000256,0.429837,0.011179,0.435736,0.011165
0.16,conformal_risk_filter,10,0.060851,0.000143,0.861703,0.000325,0.430883,0.011994,0.439186,0.011955
0.16,smooth_dynamics_world_model,10,0.094527,0.000174,0.785166,0.000396,0.354885,0.009101,0.321775,0.008767
0.16,contact_implicit_mpc,10,0.062607,9.6e-05,0.857711,0.000218,0.437718,0.01407,0.45337,0.014058
0.16,complementarity_residual_planner,10,0.059632,0.000156,0.864473,0.000354,0.450524,0.008583,0.473622,0.008419
0.16,robust_hybrid_mpc,10,0.051771,0.000123,0.882338,0.000279,0.473338,0.01182,0.505498,0.011839
0.16,learned_contact_classifier,10,0.066698,0.000166,0.848414,0.000377,0.445142,0.014071,0.461005,0.014055
0.16,energy_barrier_policy,10,0.054,0.000181,0.877273,0.000412,0.442435,0.011483,0.459254,0.011402
0.16,proposed_contact_mode_boundary_atlas_v4,10,0.043556,0.000116,0.901009,0.000264,0.533811,0.013528,0.588061,0.013106
0.16,contact_mode_boundary_audit_v5,10,0.024541,0.000134,0.944225,0.000304,0.650809,0.016575,0.75129,0.015087
0.16,oracle_contact_mode_supervisor,10,0.025252,0.000154,0.942609,0.000349,0.654804,0.019509,0.74074,0.018346
0.16,oracle_hybrid_contact_supervisor,10,0.018438,0.000114,0.958096,0.000259,0.669683,0.011111,0.768096,0.010789
0.2,no_contact_behavior_clone,10,0.108588,7.8e-05,0.773775,0.000163,0.271743,0.008172,0.217137,0.007668
0.2,domain_randomization,10,0.093855,0.000146,0.804469,0.000303,0.347835,0.007794,0.312497,0.007611
0.2,diffusion_policy_surrogate,10,0.095788,0.000114,0.800441,0.000237,0.367231,0.008185,0.333067,0.008453
0.2,robotics_transformer_surrogate,10,0.090728,0.000107,0.810983,0.000223,0.384744,0.014237,0.357447,0.014246
0.2,ensemble_disagreement_planner,10,0.066751,0.000113,0.860936,0.000235,0.436205,0.011341,0.442051,0.011327
0.2,conformal_risk_filter,10,0.060851,0.000143,0.873227,0.000298,0.436591,0.012144,0.444881,0.012105
0.2,smooth_dynamics_world_model,10,0.094527,0.000174,0.803068,0.000363,0.362794,0.009289,0.328917,0.008947
0.2,contact_implicit_mpc,10,0.062607,9.6e-05,0.869569,0.0002,0.443724,0.014254,0.459427,0.014242
0.2,complementarity_residual_planner,10,0.059632,0.000156,0.875767,0.000324,0.456348,0.00869,0.479571,0.008525
0.2,robust_hybrid_mpc,10,0.051771,0.000123,0.892143,0.000256,0.478581,0.011957,0.510929,0.011977
0.2,learned_contact_classifier,10,0.066698,0.000166,0.861046,0.000346,0.451727,0.014284,0.467648,0.014268
0.2,energy_barrier_policy,10,0.054,0.000181,0.887501,0.000377,0.447544,0.011626,0.464425,0.011545
0.2,proposed_contact_mode_boundary_atlas_v4,10,0.043556,0.000116,0.909258,0.000242,0.538667,0.013649,0.593228,0.013223
0.2,contact_mode_boundary_audit_v5,10,0.024541,0.000134,0.948873,0.000278,0.654023,0.016653,0.754864,0.015156
0.2,oracle_contact_mode_supervisor,10,0.025252,0.000154,0.947392,0.00032,0.658119,0.01961,0.744351,0.018441
0.2,oracle_hybrid_contact_supervisor,10,0.018438,0.000114,0.961588,0.000237,0.672123,0.011156,0.770769,0.010829
